cores,Pair,Bond,Kspace,Neigh,Comm,walltime,Performance
1,6053.6,213.1,415.43,894.66,11.551,7759,0.446
4,1389.1,52.216,144.67,233.76,9.3389,1879,1.840
8,703.86,26.174,84.534,118.53,6.7592,966,3.578
16,351.38,13.141,48.563,60.439,5.1715,494,7.003
24,235.15,8.8232,44.516,41.042,5.3119,347,9.973
32,176.17,6.6456,33.48,31.98,4.4381,262,13.177
40,142.06,5.3563,31.172,26.323,4.4264,219,15.813
80,71.878,2.6844,22.666,13.825,4.8643,122,28.336
120,48.559,1.7842,20.894,10.059,4.83,92,37.779
160,37.232,1.3441,17.219,7.5499,4.2196,72,48.136
200,29.934,1.0831,18.023,6.2382,4.3368,66,53.869
240,24.78,0.90235,18.081,5.1618,5.2826,60,57.760
280,21.581,0.77695,17.367,4.536,4.9975,55,63.457
320,18.943,0.67993,17.431,4.3029,4.5028,51,68.394
360,16.825,0.60568,18.157,3.7162,4.1777,49,71.942
400,15.29,0.55014,18.488,3.9817,3.7676,48,74.662
